On iwillvote.com?,Form complete?,Muni,LocationType,AbsenteeLocation,Address,FromDate,ToDate,edm_DayofWeek,DayOfWeek,StartTime,EndTime,AdditionalInstructions
,,TOWN OF MINERAL POINT - IOWA COUNTY,In-Person Absentee Voting Site,Mineral Point City Hall,"137 HIGH ST, SUITE 1, MINERAL POINT, WI 53565-1387",10/20/2020,10/30/2020,NULL,,NULL,NULL,October 20 - October 29:  8:00-4:30 p.m.  October 30:  8:00 - 5:00 p.m. Please call to make an appointment before coming to vote in person absentee.
,,TOWN OF MODENA - BUFFALO COUNTY,By Clerk Appointment,Appointment Only Voting,"W1766 SHOP RD, NELSON, WI 54756-8520",10/20/2020,11/1/2020,NULL,,NULL,NULL,Any day.  5 pm to 7 pm.
,,TOWN OF MONDOVI - BUFFALO COUNTY,By Clerk Appointment,Appointment Only Voting,"W902 COUNTY ROAD TT, MONDOVI, WI 54755",10/20/2020,10/30/2020,NULL,,NULL,NULL,Voting in person is by appointment only.
,,TOWN OF MONROE - GREEN COUNTY,By Clerk Appointment,Appointment Only Voting,"N3302 MONROE RD, MONROE, WI 53566",10/20/2020,10/30/2020,NULL,,NULL,NULL,By appointment only - Monday thru Friday
,,TOWN OF MONTANA - BUFFALO COUNTY,By Clerk Appointment,Clerk's Office,"S1646 COUNTY ROAD CC, INDEPENDENCE, WI 54747-8110",10/20/2020,11/1/2020,NULL,,NULL,NULL,
,,TOWN OF MONTANA - BUFFALO COUNTY,By Clerk Appointment,Town Hall,"S1601 COUNTY ROAD U, INDEPENDENCE, WI 54747",10/20/2020,11/1/2020,NULL,,NULL,NULL,
,,TOWN OF MONTELLO - MARQUETTE COUNTY,In-Person Absentee Voting Site,Montello Town Hall,"N3849 COUNTY ROAD F, MONTELLO, WI 53949",10/20/2020,10/31/2020,"[-1,757580001,757580002,-1]","Tuesday,Wednesday",8:00 AM,10:00 AM,Other times by appointment only  Mailed absentee ballots can be dropped off during the dates & times listed.
,,TOWN OF MONTELLO - MARQUETTE COUNTY,In-Person Absentee Voting Site,Montello Town Hall,"N3849 COUNTY ROAD F, MONTELLO, WI 53949",10/20/2020,10/31/2020,"[-1,757580003,-1]",Thursday,4:00 PM,6:00 PM,Other times by appointment only  Mailed absentee ballots can be dropped off during the dates & times listed.
,,TOWN OF MONTELLO - MARQUETTE COUNTY,In-Person Absentee Voting Site,Montello Town Hall,"N3849 COUNTY ROAD F, MONTELLO, WI 53949",10/20/2020,10/31/2020,"[-1,757580005,-1]",Saturday,8:00 AM,10:00 AM,Other times by appointment only  Mailed absentee ballots can be dropped off during the dates & times listed.
,,TOWN OF MONTPELIER - KEWAUNEE COUNTY,By Clerk Appointment,Municipal Clerk's Home,"N2643 COUNTY ROAD V, LUXEMBURG, WI 54217-7431",10/20/2020,10/30/2020,NULL,,NULL,NULL,
,,TOWN OF MORRISON - BROWN COUNTY,By Clerk Appointment,Morrison Town Hall,"3792 PARK RD, GREENLEAF, WI 54126",10/20/2020,10/30/2020,NULL,,NULL,NULL,920-864-2388
,,TOWN OF MOSCOW - IOWA COUNTY,By Clerk Appointment,Appointment Only Voting,"895 COUNTY ROAD F, HOLLANDALE, WI 53544",10/20/2020,10/30/2020,NULL,,NULL,NULL,Call for appointment-608-523-1381 for curbside voting.
,,TOWN OF MOSEL - SHEBOYGAN COUNTY,In-Person Absentee Voting Site,clerktreasurer@townofmosel.com,"W982 COUNTY ROAD FF, SHEBOYGAN, WI 53083-5136",10/21/2020,10/30/2020,"[-1,757580002,-1]",Wednesday,10:00 AM,2:00 PM,My also call 920-565-3700 to schedule an appointment
,,TOWN OF MOUNDVILLE - MARQUETTE COUNTY,By Clerk Appointment,E/M Fire Station,"631 SOUTH LIMITS ROAD, ENDEAVOR, WI 53930",10/20/2020,11/1/2020,"[-1,757580008,-1]",Weekdays,5:00 PM,8:00 PM,
,,TOWN OF MOUNDVILLE - MARQUETTE COUNTY,By Clerk Appointment,E/M Fire Station,"631 SOUTH LIMITS ROAD, ENDEAVOR, WI 53930",10/20/2020,11/1/2020,"[-1,757580009,-1]",Weekends,9:00 AM,5:00 PM,
,,TOWN OF MOUNT HOPE - GRANT COUNTY,By Clerk Appointment,Clerk's Home,"9035 COUNTY ROAD JJ, MOUNT HOPE, WI 53816-9753",10/20/2020,11/1/2020,"[-1,757580002,757580003,-1]","Wednesday,Thursday",9:00 AM,3:00 PM,
,,TOWN OF MOUNT PLEASANT - GREEN COUNTY,By Clerk Appointment,By Appointment Voting,"N6903 MARSHALL BLUFF RD, MONTICELLO, WI 53570-9728",10/20/2020,10/31/2020,"[-1,757580008,-1]",Weekdays,10:00 AM,4:00 PM,For appointment call 608.938.4657 October 20th through October 30th 9:00am to 5:00pm Monday through Friday 
,,TOWN OF MOUNTAIN - OCONTO COUNTY,In-Person Absentee Voting Site,Town of Mountain Office,"13503 WELLER RD, MOUNTAIN, WI 54149",10/20/2020,10/31/2020,"[-1,757580002,-1]",Wednesday,9:00 AM,4:00 PM,"In-Person Absentee voting Hours: Wednesday, October 21st  -  9:00 a.m. - 4:00 p.m. Monday, October 26th  -  9:00 a.m. - 4:00 p.m. Friday, October 30th  - 9:00 a.m. - 4:00 p.m. or call to set up an appointment that will work for both our schedules"
,,TOWN OF MOUNTAIN - OCONTO COUNTY,In-Person Absentee Voting Site,Town of Mountain Office,"13503 WELLER RD, MOUNTAIN, WI 54149",10/20/2020,10/31/2020,"[-1,757580000,-1]",Monday,9:00 AM,4:00 PM,"In-Person Absentee voting Hours: Wednesday, October 21st  -  9:00 a.m. - 4:00 p.m. Monday, October 26th  -  9:00 a.m. - 4:00 p.m. Friday, October 30th  - 9:00 a.m. - 4:00 p.m. or call to set up an appointment that will work for both our schedules"
,,TOWN OF MUKWA - WAUPACA COUNTY,By Clerk Appointment,Mukwa Town Hall,"E8514 WEYAUWEGA RD, NEW LONDON, WI 54961-7934",10/20/2020,10/31/2020,NULL,,NULL,NULL,Please email appointment request to clerk@mukwa.us or call 982-9890
,,TOWN OF MUKWONAGO - WAUKESHA COUNTY,In-Person Absentee Voting Site,TOWN HALL,"W320S8315 BEULAH RD, MUKWONAGO, WI 53149-9235",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:30 AM,1:00 PM,IN PERSON ABSENTEE VOTING will be until 5pm on October 29 & 30
,,TOWN OF MURRY - RUSK COUNTY,By Clerk Appointment,Appointment Only Voting,"N8429 REICHEL RD, BRUCE, WI 54819-9763",10/20/2020,10/31/2020,"[-1,757580000,757580001,757580002,757580003,757580004,757580005,-1]","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:00 AM,5:00 PM,Witnessing available at this location.
,,TOWN OF MURRY - RUSK COUNTY,By Clerk Appointment,Appointment Only Voting,"N8429 REICHEL RD, BRUCE, WI 54819-9763",10/20/2020,10/31/2020,"[-1,757580006,-1]",Sunday,1:00 PM,4:00 PM,Witnessing available at this location.
,,TOWN OF NAMAKAGON - BAYFIELD COUNTY,In-Person Absentee Voting Site,Namakagon Town Hall,"23845 COUNTY HIGHWAY M, CABLE, WI 54821",10/20/2020,11/1/2020,"[-1,757580000,757580001,757580002,757580003,-1]","Monday,Tuesday,Wednesday,Thursday",9:30 AM,2:30 PM,
,,TOWN OF NASHVILLE - FOREST COUNTY,By Clerk Appointment,Nashville Town Hall,"4265 STATE HWY 55, CRANDON, WI 54520-8766",10/20/2020,10/30/2020,NULL,,NULL,NULL,
,,TOWN OF NAVARINO - SHAWANO COUNTY,By Clerk Appointment,Navarino Town Hall,"W5041 STATE HIGHWAY 156, BONDUEL, WI 54107",10/20/2020,10/30/2020,NULL,,NULL,NULL,
,,TOWN OF NEENAH - WINNEBAGO COUNTY,In-Person Absentee Voting Site,Town of Neenah Town Hall,"1600 BREEZEWOOD LN, NEENAH, WI 54956-4410",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:30 AM,4:30 PM,"Extended in-person absentee voting hours on Friday, October 30th, 8:30 am - 5:00 pm"
,,TOWN OF NELSON - BUFFALO COUNTY,In-Person Absentee Voting Site,Clerk's Office,"S643 COUNTY ROAD F, DURAND, WI 54736-8079",10/20/2020,11/1/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,6:00 PM,
,,TOWN OF NESHKORO - MARQUETTE COUNTY,In-Person Absentee Voting Site,Neshkoro Town Hall,"W698 COUNTY ROAD DD, NESHKORO, WI 54960-9036",10/20/2020,11/1/2020,"[-1,757580000,-1]",Monday,12:00 PM,5:00 PM,In Person Voting hours are at the Neshkoro Public Library. For appointments please call or text 920-291-6029 (leave message with call back number).  Email clerk.neshkoro@gmail.com. Witnessing is available.
,,TOWN OF NESHKORO - MARQUETTE COUNTY,In-Person Absentee Voting Site,Neshkoro Town Hall,"W698 COUNTY ROAD DD, NESHKORO, WI 54960-9036",10/20/2020,11/1/2020,"[-1,757580001,-1]",Tuesday,12:00 PM,5:00 PM,In Person Voting hours are at the Neshkoro Public Library. For appointments please call or text 920-291-6029 (leave message with call back number).  Email clerk.neshkoro@gmail.com. Witnessing is available.
,,TOWN OF NESHKORO - MARQUETTE COUNTY,In-Person Absentee Voting Site,Neshkoro Town Hall,"W698 COUNTY ROAD DD, NESHKORO, WI 54960-9036",10/20/2020,11/1/2020,"[-1,757580002,-1]",Wednesday,12:00 PM,5:00 PM,In Person Voting hours are at the Neshkoro Public Library. For appointments please call or text 920-291-6029 (leave message with call back number).  Email clerk.neshkoro@gmail.com. Witnessing is available.
,,TOWN OF NEW DENMARK - BROWN COUNTY,By Clerk Appointment,New Denmark Town Hall,"5531 W TOWN HALL RD, DENMARK, WI 54208",10/20/2020,10/30/2020,NULL,,NULL,NULL,920-863-5523
,,TOWN OF NEW DIGGINGS - LAFAYETTE COUNTY,By Clerk Appointment,Appointment Only,"26402 STATE ROAD 11, SHULLSBURG, WI 53586-9568",10/20/2020,10/30/2020,NULL,,NULL,NULL,Please ask for witness at time of making appointment.
,,TOWN OF NEW GLARUS - GREEN COUNTY,By Clerk Appointment,New Glarus Town Hall,"26 5TH AVE, NEW GLARUS, WI 53574-8700",10/20/2020,10/30/2020,NULL,,NULL,NULL,Monday – Thursday 9 am to 2 pm & by appointment.
,,TOWN OF NEW HAVEN - DUNN COUNTY,By Clerk Appointment,Town Hall,"E1318 1260TH AVE, BOYCEVILLE, WI 54725-9416",10/20/2020,11/1/2020,NULL,,NULL,NULL,In person by appointment only.  Please call Becky Segebrecht at 715-455-1741 to schedule an appointment.
,,TOWN OF NEW HOLSTEIN - CALUMET COUNTY,In-Person Absentee Voting Site,Town of New Holstein,"W1465 TECUMSEH RD, NEW HOLSTEIN, WI 53061",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,10:00 AM,7:00 PM,All In Person Absentee voting is by appointment only.
,,TOWN OF NEW HOPE - PORTAGE COUNTY,By Clerk Appointment,Appointment Only,"1167 MAPLE RIDGE RD, AMHERST JUNCTION, WI 54407",10/20/2020,10/30/2020,NULL,,NULL,NULL,Call for appointment – 715-677-7074
,,TOWN OF NEWARK - ROCK COUNTY,By Clerk Appointment,Clerk's Office,"9528 W BELOIT NEWARK RD, BELOIT, WI 53511-9611",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,All Day,All Day,additional number to call for an appointment is 608-290-0269
,,TOWN OF NEWBOLD - ONEIDA COUNTY,By Clerk Appointment,Newbold Town Hall,"4608 APPERSON DRIVE, RHINELANDER, WI 54501",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,10:30 AM,5:00 PM,Call Clerk at 715-362-1092 for In Person Voting Appointments
,,TOWN OF NIAGARA - MARINETTE COUNTY,By Clerk Appointment,Niagara Town  Hall and satellite office,"W6889 US HWY 8, NIAGARA, WI 54151",10/20/2020,10/30/2020,NULL,,NULL,NULL,Please call  715-251-1545 to make an appointment for in-person absentee voting
,,TOWN OF NORRIE - MARATHON COUNTY,By Clerk Appointment,Clerks Office,"224971 COUNTY ROAD D, BIRNAMWOOD, WI 54414",10/20/2020,10/30/2020,"[-1,757580007,-1]",All Days,8:00 AM,5:00 PM,Call for appointment - 715-432-5036
,,TOWN OF NORWAY - RACINE COUNTY,In-Person Absentee Voting Site,Norway Town Hall,"6419 HEG PARK RD, WIND LAKE, WI 53185-2735",10/20/2020,10/31/2020,"[-1,757580008,-1]",Weekdays,9:00 AM,12:00 PM,"Voting begins on Tuesday, October 20th.  We will be holding drive through voting only. "
,,TOWN OF NORWAY - RACINE COUNTY,In-Person Absentee Voting Site,Norway Town Hall,"6419 HEG PARK RD, WIND LAKE, WI 53185-2735",10/20/2020,10/31/2020,"[-1,757580008,-1]",Weekdays,1:00 PM,4:00 PM,"Voting begins on Tuesday, October 20th.  We will be holding drive through voting only. "
,,TOWN OF NORWAY - RACINE COUNTY,In-Person Absentee Voting Site,Norway Town Hall,"6419 HEG PARK RD, WIND LAKE, WI 53185-2735",10/20/2020,10/31/2020,"[-1,757580005,-1]",Saturday,9:00 AM,12:00 PM,"Voting begins on Tuesday, October 20th.  We will be holding drive through voting only. "
,,TOWN OF OAKDALE - MONROE COUNTY,By Clerk Appointment,Appointment Only,"228 BALLPARK DR, OAKDALE, WI 54649",10/20/2020,10/30/2020,NULL,,NULL,NULL,
,,TOWN OF OAKFIELD - FOND DU LAC COUNTY,By Clerk Appointment,Village Hall,"130 N MAIN ST, OAKFIELD, WI 53065-9593",10/20/2020,11/1/2020,NULL,,NULL,NULL,"See Village website for daily regular hours.  Absentee voting *MAY* be offered on October 31st or November 1st, it is still TBD.  Will be posted on social media if it is scheduled. Witnessing available.  Do not rely on voting in person on October 31 or November 1; this is only a tentative option if it is deemed necessary when it gets closer to the date.  "
,,TOWN OF OAKLAND - DOUGLAS COUNTY,By Clerk Appointment,Oakland Town Hall,"6152 S COUNTY ROAD K, SOUTH RANGE, WI 54874-8158",10/20/2020,11/1/2020,"[-1,757580000,757580001,757580002,757580003,757580004,757580005,757580006,757580007,757580008,757580009,-1]",All Days,All Day,All Day,Hours by appointment.  Contact clerk at 715-399-0206.  Deadline for Sunday 11/1/20 is 5pm. *Curbside voting at the town hall will take place 10/22/20 and 10/29/20 from 4:30pm to 6:30pm. 
,,TOWN OF OAKLAND - JEFFERSON COUNTY,In-Person Absentee Voting Site,Oakland Town Hall,"N4450 COUNTY HIGHWAY A, CAMBRIDGE, WI 53523",10/20/2020,10/22/2020,"[-1,757580001,757580002,757580003,-1]","Tuesday,Wednesday,Thursday",9:00 AM,3:00 PM,
,,TOWN OF OAKLAND - JEFFERSON COUNTY,In-Person Absentee Voting Site,Oakland Town Hall,"N4450 COUNTY HIGHWAY A, CAMBRIDGE, WI 53523",10/23/2020,10/23/2020,"[-1,757580004,-1]",Friday,9:00 AM,12:00 PM,
,,TOWN OF OAKLAND - JEFFERSON COUNTY,In-Person Absentee Voting Site,Oakland Town Hall,"N4450 COUNTY HIGHWAY A, CAMBRIDGE, WI 53523",10/26/2020,10/29/2020,"[-1,757580000,757580001,757580002,757580003,-1]","Monday,Tuesday,Wednesday,Thursday",9:00 AM,3:00 PM,
,,TOWN OF OAKLAND - JEFFERSON COUNTY,In-Person Absentee Voting Site,Oakland Town Hall,"N4450 COUNTY HIGHWAY A, CAMBRIDGE, WI 53523",10/30/2020,10/30/2020,"[-1,757580004,-1]",Friday,9:00 AM,5:00 PM,
,,TOWN OF OCONTO - OCONTO COUNTY,By Clerk Appointment,Town Hall,"6120 CREAM CITY RD, OCONTO, WI 54153-9437",10/20/2020,11/1/2020,NULL,,NULL,NULL,Appointments available after 5pm
,,TOWN OF OCONTO FALLS - OCONTO COUNTY,By Clerk Appointment,Appointment Only,"9256 HOLTZ RD, OCONTO FALLS, WI 54154-9608",10/20/2020,10/30/2020,NULL,,NULL,NULL,Clerk available for witnessing as needed.
,,TOWN OF OJIBWA - SAWYER COUNTY,By Clerk Appointment,"Town Hall, appointment only","4411 N STATE ROAD 27, OJIBWA, WI 54862",10/20/2020,10/30/2020,"[-1,757580000,-1]",Monday,9:00 AM,4:00 PM,Bring a witness
,,TOWN OF OJIBWA - SAWYER COUNTY,By Clerk Appointment,"Town Hall, appointment only","4411 N STATE ROAD 27, OJIBWA, WI 54862",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,1:00 PM,4:00 PM,Bring a witness
,,TOWN OF OMA - IRON COUNTY,By Clerk Appointment,Appointment Only Voting,"11336 N CENTER DR, HURLEY, WI 54534-9302",10/20/2020,11/1/2020,"[-1,757580007,-1]",All Days,8:00 AM,6:00 PM,"Witnessing is available. This is the clerks residence, There is no office at town hall/polling center."
,,TOWN OF ONALASKA - LA CROSSE COUNTY,By Clerk Appointment,Town Hall-Town of Onalaska,"N5589 COMMERCE RD, ONALASKA, WI 54650-9266",10/20/2020,10/30/2020,"[-1,757580001,757580002,757580004,-1]","Tuesday,Wednesday,Friday",8:00 AM,12:00 PM,
,,TOWN OF ONALASKA - LA CROSSE COUNTY,By Clerk Appointment,Town Hall-Town of Onalaska,"N5589 COMMERCE RD, ONALASKA, WI 54650-9266",10/20/2020,10/30/2020,"[-1,757580003,-1]",Thursday,1:00 PM,4:30 PM,
,,TOWN OF ONEIDA - OUTAGAMIE COUNTY,In-Person Absentee Voting Site,Town of Oneida Hall,"N6593 COUNTY ROAD H, ONEIDA, WI 54155-9546",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:00 AM,4:00 PM,
,,TOWN OF ONEIDA - OUTAGAMIE COUNTY,In-Person Absentee Voting Site,Town of Oneida Hall,"N6593 COUNTY ROAD H, ONEIDA, WI 54155-9546",10/30/2020,10/30/2020,"[-1,757580004,-1]",Friday,All Day,All Day,
,,TOWN OF OREGON - DANE COUNTY,In-Person Absentee Voting Site,Oregon Town Hall,"1138 UNION RD, OREGON, WI 53575-2742",10/20/2020,10/30/2020,"[-1,757580001,757580002,757580003,757580004,-1]","Tuesday,Wednesday,Thursday,Friday",8:00 AM,12:00 PM,We also have a NEW locked dropbox attached to the railing at the town hall.
,,TOWN OF OREGON - DANE COUNTY,In-Person Absentee Voting Site,Oregon Town Hall,"1138 UNION RD, OREGON, WI 53575-2742",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",12:00 PM,5:00 PM,We also have a NEW locked dropbox attached to the railing at the town hall.
,,TOWN OF ORION - RICHLAND COUNTY,By Clerk Appointment,Appointment Only Voting,"23398 WHIPPOORWILL RD, RICHLAND CENTER, WI 53581-6422",10/20/2020,11/1/2020,NULL,,NULL,NULL,after work 6pm to 8pm.  Call first for options.
,,TOWN OF OSBORN - OUTAGAMIE COUNTY,By Clerk Appointment,Osborn Town Hall,"W3389 COUNTY ROAD EE, SEYMOUR, WI 54165-8602",10/20/2020,10/30/2020,NULL,,NULL,NULL,No drop off box but make an appointment for hand delivery of absentee ballots.
,,TOWN OF OSCEOLA - POLK COUNTY,In-Person Absentee Voting Site,Town Hall,"516 N EAST AVE, DRESSER, WI 54009-9039",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,9:00 AM,3:00 PM,
,,TOWN OF OSHKOSH - WINNEBAGO COUNTY,By Clerk Appointment,Town of Oshkosh In-Person Absentee Voting Site,"1076 COZY LN, OSHKOSH, WI 54901-1404",10/20/2020,10/30/2020,NULL,,NULL,NULL,To schedule an appointment with the clerk call 920-235-7771 or email clerk@town.oshkosh.wi.gov. Further information will be provided when the appointment is made.
,,TOWN OF OTSEGO - COLUMBIA COUNTY,By Clerk Appointment,Stacy Holder resident,"N4132 ERDMAN RD, RIO, WI 53960-9745",10/20/2020,11/1/2020,NULL,,NULL,NULL,
,,TOWN OF OTTER CREEK - DUNN COUNTY,By Clerk Appointment,Town Hall,"E5905 COUNTY ROAD S, WHEELER, WI 54772-9460",10/20/2020,11/1/2020,NULL,,NULL,NULL,In person by appointment only.  Please call Beverly Bernier at 715-658-0131 to schedule an appointment.
,,TOWN OF OTTER CREEK - EAU CLAIRE COUNTY,By Clerk Appointment,Clerk's Home,"S13250 SCHULTZ RD, OSSEO, WI 54758-9395",10/20/2020,10/29/2020,"[-1,757580001,757580003,-1]","Tuesday,Thursday",6:00 PM,7:00 PM,"Also Monday, October 6, 2020 6:00 PM - 7:00 PM"
,,TOWN OF OXFORD - MARQUETTE COUNTY,By Clerk Appointment,Town Hall,"N2985 COUNTY ROAD O, OXFORD, WI 53952",10/20/2020,10/31/2020,"[-1,757580000,757580001,757580002,757580003,757580004,757580005,-1]","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:00 AM,7:00 PM,We are not participating in a drop box option. Our town hall is in a very secluded rural location and a drop box would  not be safe there.  We also do not have an office or regular hours at the hall.
,,TOWN OF PACIFIC - COLUMBIA COUNTY,By Clerk Appointment,Pacific Town Hall,"W7530 STATE ROAD 16, PARDEEVILLE, WI 53954-9520",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,-1]","Monday,Tuesday,Wednesday,Thursday",8:00 AM,2:00 PM,Extended hours available by appointment only on Friday October 30th - available until 5:00 PM
,,TOWN OF PACIFIC - COLUMBIA COUNTY,By Clerk Appointment,Pacific Town Hall,"W7530 STATE ROAD 16, PARDEEVILLE, WI 53954-9520",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,11:30 AM,Extended hours available by appointment only on Friday October 30th - available until 5:00 PM
,,TOWN OF PACKWAUKEE - MARQUETTE COUNTY,In-Person Absentee Voting Site,Town Hall,"N3511 STATE ST, PACKWAUKEE, WI 53953",10/22/2020,10/30/2020,NULL,,NULL,NULL,"In Person Absentee Voting will be held:  Thursday, October 22nd from 5:30-7:00PM  Tuesday, October 27th from 5:30-7:00PM   Friday, October 30th from 2:00-5:00PM"
,,TOWN OF PARKLAND - DOUGLAS COUNTY,By Clerk Appointment,Parkland Town Hall,"6221 E VETERANS DR, SOUTH RANGE, WI 54874-0098",10/20/2020,11/1/2020,"[-1,757580000,757580001,-1]","Monday,Tuesday",9:00 AM,1:00 PM,Hours by appointment.  Contact Marianne at 715-398-6016 or 715-817-0848. Or Lisa at 715-398-6850.  Deadline for Sunday 11/1/20 is 5pm.
,,TOWN OF PECK - LANGLADE COUNTY,By Clerk Appointment,Appointment Only Voting,"W12514 COUNTY ROAD I, DEERBROOK, WI 54424-9348",10/20/2020,11/1/2020,NULL,,NULL,NULL,Weekdays after 5pm
,,TOWN OF PEEKSVILLE - ASHLAND COUNTY,By Clerk Appointment,Town of Peeksville,"79242 SINKHOLE RD, GLIDDEN, WI 54527-9021",10/20/2020,10/31/2020,"[-1,757580008,-1]",Weekdays,9:00 AM,7:00 PM,Please call for an appointment
,,TOWN OF PELLA - SHAWANO COUNTY,By Clerk Appointment,Appointment Only,"W10233 COUNTY ROAD D, CLINTONVILLE, WI 54929-8998",10/20/2020,11/1/2020,NULL,,NULL,NULL,We do not have a drop box.
,,TOWN OF PEMBINE - MARINETTE COUNTY,By Clerk Appointment,Pembine Town Hall,"N18765 SAULD ST, PEMBINE, WI 54156-9480",10/20/2020,10/30/2020,"[-1,757580007,-1]",All Days,8:30 AM,5:00 PM,"Please call clerk for appointment, 715-324-6314."
,,TOWN OF PEPIN - PEPIN COUNTY,By Clerk Appointment,Appointment Only Voting,"N2514 BOGUS RD, STOCKHOLM, WI 54769-5604",10/21/2020,10/30/2020,NULL,,NULL,NULL,
,,TOWN OF PERRY - DANE COUNTY,In-Person Absentee Voting Site,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/20/2020,10/20/2020,"[-1,757580001,-1]",Tuesday,7:00 PM,9:00 PM,
,,TOWN OF PERRY - DANE COUNTY,In-Person Absentee Voting Site,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/22/2020,10/22/2020,"[-1,757580003,-1]",Thursday,7:00 PM,9:00 PM,
,,TOWN OF PERRY - DANE COUNTY,In-Person Absentee Voting Site,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/24/2020,10/24/2020,"[-1,757580005,-1]",Saturday,8:00 AM,12:00 PM,
,,TOWN OF PERRY - DANE COUNTY,In-Person Absentee Voting Site,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/26/2020,10/26/2020,"[-1,757580000,-1]",Monday,5:00 PM,7:00 PM,
,,TOWN OF PERRY - DANE COUNTY,In-Person Absentee Voting Site,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/28/2020,10/28/2020,"[-1,757580002,-1]",Wednesday,5:00 PM,7:00 PM,
,,TOWN OF PERRY - DANE COUNTY,In-Person Absentee Voting Site,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/31/2020,10/31/2020,"[-1,757580005,-1]",Saturday,8:00 AM,12:00 PM,
,,TOWN OF PERU - DUNN COUNTY,By Clerk Appointment,Town Hall,"E7209 160TH AVE, MONDOVI, WI 54755",10/20/2020,11/1/2020,NULL,,NULL,NULL,In person by appointment only.  Please call Rebecca Richardson at 715-672-4325 or 715-875-4879 to schedule an appointment.
,,TOWN OF PIERCE - KEWAUNEE COUNTY,By Clerk Appointment,Pierce Town Hall,"N6061 COUNTY ROAD D, KEWAUNEE, WI 54216-9426",10/20/2020,10/30/2020,NULL,,NULL,NULL,
,,TOWN OF PILSEN - BAYFIELD COUNTY,By Clerk Appointment,Misuns Residence,"68470 MOQUAH VALLEY RD, ASHLAND, WI 54806-6648",10/20/2020,10/29/2020,NULL,,NULL,NULL,
,,TOWN OF PINE GROVE - PORTAGE COUNTY,By Clerk Appointment,Pine Grove Municipal Center,"5444 COUNTY RD W, BANCROFT, WI 54921-9669",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",5:00 PM,7:00 PM,Please call the Pine Grove Municipal Center at 715-335-4011 to receive a call back to set up an appointment for in-person early voting during times listed. 
,,TOWN OF PINE LAKE - ONEIDA COUNTY,By Clerk Appointment,Skinner Residence,"4305 HIGHLANDER RD, RHINELANDER, WI 54501-9711",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,10:00 AM,5:00 PM,In person absentee voting on these dates from 10:00 a.m. to 5:00 p.m. by appointment only
,,TOWN OF PLEASANT SPRINGS - DANE COUNTY,In-Person Absentee Voting Site,Town Hall,"2354 COUNTY ROAD N, STOUGHTON, WI 53589-2875",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:00 PM,Friday October 30th 8am - 5pm
,,TOWN OF PLEASANT VALLEY - EAU CLAIRE COUNTY,In-Person Absentee Voting Site,Pleasant Valley Town Hall,"S10414 COUNTY ROAD HH I, ELEVA, WI 54738",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,-1]","Monday,Tuesday,Wednesday,Thursday",9:00 AM,4:00 PM,"Friday, October 30th only.  Not available Friday, October 23rd."
,,TOWN OF PLEASANT VALLEY - EAU CLAIRE COUNTY,In-Person Absentee Voting Site,Pleasant Valley Town Hall,"S10414 COUNTY ROAD HH I, ELEVA, WI 54738",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,1:00 PM,5:00 PM,"Friday, October 30th only.  Not available Friday, October 23rd."
,,TOWN OF PLOVER - MARATHON COUNTY,By Clerk Appointment,Clerk's Residence,"230801 COUNTY ROAD Y, BIRNAMWOOD, WI 54414",10/20/2020,11/1/2020,NULL,,NULL,NULL,
