Municipality,HINDI,Website,Updated,Clerk,Deputy_Clerk,Address,Address_Mailing,Phone_1,Fax
VILLAGE OF OAKDALE MONROE COUNTY es/village-of-oakdale/,42165,http://www.co.monroe.wi.us/communiti,10/25/2019,BRENDA BRADLEY,PAULETTE D BRADLEY,"133 WELL DR, TOMAH, WI 54660","PO BOX 87, OAKDALE, WI 54649 -0087",608-372-2927,608-372-0938
VILLAGE OF WARRENS MONROE COUNTY,42185,https://villageofwarrens.com/,12/20/2017,KRIS OAKES,TERRI SWOPE,"301 MAIN ST, WARRENS, WI 54666-9603","PO BOX 97, WARRENS, WI 54666-0097",608-378-4177,608-378-4197
VILLAGE OF WILTON MONROE COUNTY,42191,NA,11/30/2017,LORI BRUEGGEN,PHYLLIS BRANDAU,"400 EAST ST STE 103, WILTON, WI 54670-7735",NA,608-435-6666,608-435-6692
VILLAGE OF WYEVILLE MONROE COUNTY,42192,NA,3/8/2019,JOAN C SUTHERLAND,NA,"215 WYEVILLE AVE, WYEVILLE, WI 54660-4033","209 2ND ST, WYEVILLE, WI 54660-4006",608-372-5384,NA
CITY OF SPARTA MONROE COUNTY,42281,https://www.spartawisconsin.org/,1/31/2017,JULIE A HANSON,JENNIFER LYDON,"201 W OAK ST, SPARTA, WI 54656-2148",NA,608-269-4340 EXT 221,608-269-5046
CITY OF TOMAH MONROE COUNTY,42286,http://www.tomahonline.com/,3/5/2018,JOANN M CRAM,BERTA DOWNS,"819 SUPERIOR AVE, TOMAH, WI 54660-2046",NA,608-374-7426,608-374-7424
TOWN OF ABRAMS OCONTO COUNTY,43002,http://www.townofabrams.com,1/26/2018,JEAN A HANSEN,NA,"5877 MAIN ST, ABRAMS, WI 54101-9656","PO BOX 183, ABRAMS, WI 54101-0183",920-826-2299,920-826-7990
TOWN OF BAGLEY OCONTO COUNTY,43006,NA,1/19/2018,ALAN SLEETER,PAT SLEETER,"9812 COUNTY ROAD Z, POUND, WI 54161","10005 MADSEN RD, SURING, WI 54174-9611",920-590-0198,NA
TOWN OF BRAZEAU OCONTO COUNTY,43008,http://townofbrazeau.com/,11/27/2019,LORI L GROSS,BROOKE KRIESCHER,"10892 PARKWAY RD, POUND, WI 54161-8601",NA,920-897-3855,NA
TOWN OF BREED OCONTO COUNTY,43010,NA,1/26/2018,DEANNA TACHICK,NA,"11155 STATE HIGHWAY 32, SURING, WI 54174","10923 STATE HIGHWAY32, SURING, WI 54174-9764",920-842-2166,NA
TOWN OF CHASE OCONTO COUNTY,43012,http://townofchase.org/,12/26/2019,DANIEL L KROLL,CINDY KROLL,"8481 COUNTY RD S, PULASKI, WI 54162",NA,920-822-1560,NA
TOWN OF DOTY OCONTO COUNTY,43014,https://townofdoty.org/,10/11/2019,CHERYL C FIELD,LINDA VANDENLANGENBERG,"14899 COUNTY ROAD T, MOUNTAIN, WI 54149-9653",NA,715-276-7554,715-276-7375
TOWN OF GILLETT OCONTO COUNTY,43016,NA,11/2/2017,RENEE CARLSON,NA,"10908 TOWN HALL RD, GILLETT, WI 54124-9398","5469 COUNTY BB, GILLETT, WI 54124",920-855-1000,920-855-1805
TOWN OF HOW OCONTO COUNTY,43018,NA,1/19/2018,MARY WOODS,NA,"12896 STATE HIGHWAY 32, SURING, WI 54174","12875 BIRCH LN, SURING, WI 54174-9504",920-842-4584,920-842-9851
TOWN OF LAKEWOOD OCONTO COUNTY,43019,http://townoflakewood.com,3/20/2019,DENISE A JACKETT,NA,"17181 TWIN PINES RD, LAKEWOOD, WI 54138-9300","PO BOX 40, LAKEWOOD, WI 54138-0040",715-276-3579,715-276-7366
TOWN OF LENA OCONTO COUNTY,43020,NA,3/8/2019,DAWN VANARK,NA,"6087 GOATSVILLE RD, LENA, WI 54139","8489 SUNSHINE RD, LENA, WI 54139-9724",715-281-4672,920-829-5036
TOWN OF LITTLE RIVER - OCONTO COUNTY,43022,http://www.townoflittleriver.com,1/9/2020,AMY PETERSON,NA,"3627 COUNTY ROAD A, OCONTO, WI 54153-9754",NA,920-373-7095,920-834-3620
TOWN OF LITTLE SUAMICO - OCONTO,43024,http://www.townoflittlesuamico.com,12/15/2017,NIKKI TOLZMAN,SANDRA PAGEL,"5964A COUNTY RD S, SOBIESKI, WI 54171-9713",NA,920-826-7655,920-826-7657
TOWN OF MAPLE VALLEY - OCONTO,43026,NA,1/26/2018,CINDY TOUSEY,NA,"9088 COUNTY ROAD Z, COUNTY SURING, WI 54174","PO BOX 384, SURING, WI 54174- 0384",920-598-0601,NA
TOWN OF MORGAN OCONTO COUNTY,43028,http://townofmorgan.org,3/13/2018,JULIE BELONGIA,NA,"3276 COUNTY ROAD C, OCONTO FALLS, WI 54154","4093 ELM LAWN RD, OCONTO FALLS, WI 54154",920-846-0699,920-846-8003
TOWN OF MOUNTAIN OCONTO COUNTY,43029,http://www.townofmountain.com,4/26/2017,LYNN M KAUZLARIC,NA,"13503 WELLER RD, MOUNTAIN, WI 54149-9545","PO BOX 95, MOUNTAIN, WI 54149-0095",715-276-6474,715-276-6007
TOWN OF OCONTO OCONTO COUNTY,43030,NA,12/11/2017,LORI SCANLAN,NA,"6120 CREAM CITY RD, OCONTO, WI 54153-9437","3649 STATE HIGHWAY22, OCONTO, WI 54153-9426",920-834-4351,NA
TOWN OF OCONTO FALLS - OCONTO,43032,http://www.townofocontofalls.org,12/20/2017,HEATHER FIFIELD,NA,"8680 STATE HIGHWAY 22, COUNTY OCONTO FALLS, WI 54154-9723","9256 HOLTZ ROAD, OCONTO FALLS, WI 54154-9608",920-412-8151,NA
TOWN OF PENSAUKEE OCONTO COUNTY,43034,https://townofpensaukee.org/,11/27/2019,JODY LIEGEOIS,NA,"4684 BROOKSIDE RD, ABRAMS, WI 54101-9772",NA,920-826-2010,NA
TOWN OF RIVERVIEW OCONTO COUNTY,43036,http://www.townofriverview.com,1/7/2020,BETH HARTMAN,DEBRA NIESEN,"15471 STATE HIGHWAY 32, MOUNTAIN, WI 54149-9749","PO BOX 220, MOUNTAIN, WI 54149-0220",715-276-6914,715-276-7444
TOWN OF SPRUCE OCONTO COUNTY,43038,NA,12/28/2017,LISA PEITERSEN,NA,"9097 COUNTY ROAD B, OCONTO FALLS, WI 54154","PO BOX 52, OCONTO FALLS, WI 54154-0052",920-829-5111,920-848-2689
TOWN OF STILES OCONTO COUNTY,43040,NA,11/2/2017,MARILYN MAGNIN,NA,"5718 WATERCREST RD, LENA, WI 54139","7031 BACON RD, LENA, WI 54139-9581",920-834-5423,920-846-4282
TOWN OF TOWNSEND OCONTO COUNTY,43042,https://www.townsendwisconsin.org/,12/20/2017,LINDA ZIEGLER,NA,"16564 ELM ST, TOWNSEND, WI 54175-0227","PO BOX 227, TOWNSEND, WI 54175-0227",715-276-6856,715-276-6563
TOWN OF UNDERHILL OCONTO COUNTY,43044,https://townofunderhill.com/,3/18/2019,TRACY A WINKLER,NA,"5597 CARDINAL RD, GILLETT, WI 54124-9102","12336 RUSCH LN, GILLETT, WI 54124-9736",920-655-8565,NA
VILLAGE OF LENA OCONTO COUNTY,43146,http://www.villageoflena.net,12/26/2019,CHARLENE MEIER,MARY SCHERBARTH,"117 E MAIN ST, LENA, WI 54139-9486",NA,920-829-5226,920-829-5746
VILLAGE OF SURING OCONTO COUNTY,43181,https://ci.suring.wi.us/,1/19/2018,CAROL HEISE,NA,"604 MAIN ST, SURING, WI 54174-9571",NA,920-842-2333,920-842-4521
CITY OF GILLETT OCONTO COUNTY,43231,http://www.cityofgillett.com,1/19/2018,KIMBERLY GRUETZMACHER,CHELSEA ANDERSON,"150 N MCKENZIE ST, GILLETT, WI 54124-9330",NA,920-855-2255,920-855-6283
CITY OF OCONTO OCONTO COUNTY,43265,http://www.cityofoconto.com,11/30/2017,SARA J PERRIZO,JULIE GALIK,"1210 MAIN ST, OCONTO, WI 54153-1542",NA,920-834-7711,920-834-7713
CITY OF OCONTO FALLS - OCONTO COUNTY,43266,http://www.ci.ocontofalls.wi.us,1/19/2018,VICKI A ROBERTS,NANCY M BRYE,"500 N CHESTNUT AVE, OCONTO FALLS, WI 54154-1111","PO BOX 70, OCONTO FALLS, WI 54154-0070",920-846-4505,920-846-4516
TOWN OF CASSIAN ONEIDA COUNTY,44002,NA,6/25/2018,NICOLE AUGUSTINE,NA,"9110 CHURCH RD, HARSHAW, WI 54529","4623 PARTRIDGE LN, HARSHAW, WI 54529-9784",715-966-3136,NA
TOWN OF CRESCENT ONEIDA COUNTY,44004,http://townofcrescent.com,12/28/2017,TRACY L HARTMAN,NA,"3321 Golf Course Rd, RHINELANDER, WI 54501","6902 FIRE TOWER RD, RHINELANDER, WI 54501-9489",715-499-0500,715-282-7096
TOWN OF ENTERPRISE ONEIDA COUNTY,44006,NA,2/5/2018,JONATHAN SOMMER,NA,"2977 PLANTATION ROAD, PELICAN LAKE, WI 54463",NA,715-360-0336,NA
TOWN OF HAZELHURST - ONEIDA COUNTY,44008,http://www.hazelwi.net,1/3/2018,BETTY CUSHING,NA,"7020 Hwy 51, HAZELHURST, WI 54531-9525","PO BOX 67, HAZELHURST, WI 54531-0067",715-356-5800,715-358-9809
TOWN OF LAKE TOMAHAWK - ONEIDA,44010,http://laketomahawk.org,6/19/2018,SHARON TRIMBERGER LINTEREUR,DEB BLESKAN,"7246 MAIN ST, LAKE TOMAHAWK, WI 54539-9543","PO BOX 396, LAKE TOMAHAWK, WI 54539-9543-0396",715-277-2257,715-277-5163
TOWN OF LITTLE RICE ONEIDA COUNTY,44012,http://www.townoflittlerice.com,12/8/2017,CHRISTINE SULLY,CINDI HEGGE,"3737 COUNTY Y, TOMAHAWK, WI 54487-9541",NA,715-224-2591,715-224-2491
TOWN OF LYNNE ONEIDA COUNTY,44014,http://townoflynne.com/,12/6/2019,DANA FISHER,NA,"5102 WILLOW RD, TRIPOLI, WI 54564-9705","5023 TALBOT RD, TRIPOLI, WI 54564-9705",715-564-3296,715-564-2622
TOWN OF MINOCQUA ONEIDA COUNTY,44016,http://www.townofminocqua.org,3/18/2019,ROBEN HAGGART,NA,"415 MENOMINEE ST, MINOCQUA, WI 54548-8772","415 MENOMINEE ST Suit 300, MINOCQUA, WI 54548-8772",715-356-5296,715-356-1132
TOWN OF MONICO ONEIDA COUNTY,44018,NA,3/8/2019,BARBARA M. HENDERSON,NA,"2333 FORREST ST, MONICO, WI 54501-7723",NA,715-499-4981,715-282-7987
TOWN OF NEWBOLD ONEIDA COUNTY,44020,NA,1/19/2018,KIM GAUTHIER,NA,"6105 POINT DR, RHINELANDER, WI 54501-8702",NA,715-362-1092,NA
TOWN OF NOKOMIS ONEIDA COUNTY,44022,http://townofnokomis.com,3/19/2019,WENDY SMITH,NA,"2541 LAKE NOKOMIS RD, TOMAHAWK, WI 54487-9314",NA,715-453-4801,715-453-6399
TOWN OF PELICAN ONEIDA COUNTY,44024,https://townofpelican.com/,1/9/2020,MIKE RING,SIDNEY RING,"4093 COUNTY P, RHINELANDER, WI 54501","4095 PINE LANE, RHINELANDER, WI 54501",715-369-0478,NA
TOWN OF PIEHL ONEIDA COUNTY,44026,NA,3/15/2019,BRYAN KALLIOKOSKI,SANDY SAAL,"1415 TOWN HALL RD, RHINELANDER, WI 54501",NA,720-951-4413,NA
TOWN OF PINE LAKE ONEIDA COUNTY,44028,http://www.townofpinelake.com,3/11/2019,CINDY SKINNER,ERIN SKINNER,"4197 RIVER RD, RHINELANDER, WI 54501-8381","4305 HIGHLANDER RD, RHINELANDER, WI 54501-9711",715-362-6071,NA
TOWN OF SCHOEPKE ONEIDA COUNTY,44030,NA,1/8/2020,JULIE TAYLOR,NA,"769 US HIGHWAY 45, PELICAN LAKE, WI 54463-9567","PO BOX 56, PELICAN LAKE, WI 54463-0056",715-487-6155,NA
TOWN OF STELLA ONEIDA COUNTY,44032,https://www.townofstella.com/,12/11/2019,SUE LUKARICH,NA,"2496 COUNTY C, RHINELANDER, WI 54501-9583","3915 CAMP BRYN AFON RD, RHINELANDER, WI 54501",715-401-5005,NA
TOWN OF SUGAR CAMP - ONEIDA COUNTY,44034,http://sugarcamp.org/,11/19/2019,LAUREN SOWINSKI,JOSH KRAL,"4059 CAMP FOUR RD, RHINELANDER, WI 54501-8622",NA,715-272-1525,715-272-1999
TOWN OF THREE LAKES - ONEIDA COUNTY,44036,http://www.townofthreelakes.com,6/19/2018,SUSAN L HARRIS,LANAE KOWALSKI,"6965 W SCHOOL ST, THREE LAKES, WI 54562","PO BOX 565, THREE LAKES, WI 54562-0565",715-546-3316,715-546-3384
TOWN OF WOODBORO ONEIDA COUNTY,44038,NA,12/28/2017,JUDITH MAY,NA,"8672 OLD COUNTY K, HARSHAW, WI 54529-9657",NA,715-282-5607,715-282-5607
TOWN OF WOODRUFF ONEIDA COUNTY,44040,http://www.townofwoodruff.org,12/6/2019,JULIE WROBLEWSKI,LINDA GEIER,"1418 1ST AVE, WOODRUFF, WI 54568-9470","PO BOX 560, WOODRUFF, WI 54568-0560",715-356-9421,715-358-2677
CITY OF RHINELANDER ONEIDA COUNTY,44276,http://rhinelandercityhall.org,1/2/2018,VALERIE FOLEY,MARY STOLL,"135 S STEVENS ST, RHINELANDER, WI 54501-3434",NA,715-365-8600,715-365-8630
TOWN OF BLACK CREEK - OUTAGAMIE COUNTY,45002,https://blackcreekwi.org/,1/9/2020,CHRISTY STOVER,NA,"N6051 TWELVE CORNERS RD, BLACK CREEK, WI 54106","PO BOX 84, BLACK CREEK, WI 54106-0084",920-850-4864,NA
TOWN OF BOVINA OUTAGAMIE COUNTY,45004,http://townofbovina.com/,5/13/2019,CHARLES PLUGER,CATHY PULS,"N5289 REXFORD RD, SHIOCTON WI 54170-9022","N5289 REXFORD RD, SHIOCTON, WI 54170-9022",920-570-0864,NA
TOWN OF BUCHANAN OUTAGAMIE COUNTY,45006,http://www.townofbuchanan.org,11/2/2017,CYNTHIA SIERACKI,CATHY BOLWERK,"N178 COUNTY RD N, APPLETON, WI 54915-9459",NA,920-734-8599,920-734-9733
TOWN OF CENTER OUTAGAMIE COUNTY,45008,http://www.centerwi.com,11/15/2017,AMY L OLSON,NA,"N3990 STATE ROAD 47, APPLETON, WI 54913-8484",NA,920-731-7229,920-731-8169
TOWN OF CICERO OUTAGAMIE COUNTY,45010,http://www.townofcicerowi.com,12/20/2017,LORI A KLEVESAHL,NA,"N9195 COUNTY ROAD X, SEYMOUR, WI 54165","W5402 BRUGGER RD, BLACK CREEK, WI 54106-8908",920-525-1150,920-525-1150
TOWN OF DALE OUTAGAMIE COUNTY,45012,http://townofdale.org,6/29/2018,JENNY DEZEEUW,NA,"W9641 STATE ROAD 96, DALE, WI 54931","PO BOX 83, DALE, WI 54931- 0083",920-779-4609,920-779-4662
TOWN OF DEER CREEK - OUTAGAMIE COUNTY,45014,https://www.townofdeercreek.com/,4/29/2019,CRAIG SORENSON,NA,"W9698 COUNTY RD F, BEAR CREEK, WI 54922","N8025 STATE RD 76, BEAR CREEK, WI 54922",715-752-3071,715-752-3071
TOWN OF ELLINGTON OUTAGAMIE COUNTY,45016,https://townofellington.org/,9/18/2018,BONNIE FISCHER,NA,"N3802 STATE ROAD 76, HORTONVILLE, WI 54944-8323","N4399 MAYFLOWER RD, BLACK CREEK, WI 54106-8022",920-757-5912,920-757-5384
TOWN OF FREEDOM OUTAGAMIE COUNTY,45018,http://www.townoffreedom.org/,9/16/2019,COLLEEN M LAHA,MICHELLE EVERS,"W2004 COUNTY RD S, FREEDOM, WI 54130-7502","PO BOX 1004, FREEDOM, WI 54131-1004",920-788-4548,920-788-7550
TOWN OF GRAND CHUTE - OUTAGAMIE,45020,http://www.grandchute.net,9/10/2018,ANGIE CAIN,ELIZABETH MILLER,"1900 W GRAND CHUTE BLVD, GRAND CHUTE, WI 54913-9613",NA,920-832-5644,920-993-7032
TOWN OF GREENVILLE OUTAGAMIE COUNTY,45022,http://townofgreenville.com,2/26/2019,WENDY HELGESON,JULIE ROUTHIEAUX,"W6860 PARKVIEW DR, GREENVILLE, WI 54942-8031",NA,920-757-5151 EXT 1100,920-757-0543
TOWN OF HORTONIA OUTAGAMIE COUNTY,45024,http://www.townofhortonia.org,11/2/2017,LYN M. NEUENFELDT,NA,"W9702 GIVENS RD, HORTONVILLE, WI 54944-9510",NA,920-779-9780,920-779-9780
TOWN OF KAUKAUNA OUTAGAMIE COUNTY,45026,http://www.townofkaukauna.com,4/29/2019,DEBRA K VANDER HEIDEN,NA,"W780 GREINER RD, KAUKAUNA, WI 54130-8028",NA,920-759-1677,920-759-1678
TOWN OF LIBERTY OUTAGAMIE COUNTY,45028,http://www.townofliberty.com/,7/26/2019,JULIA DEGROOT,NA,"N3918 HOLLOW RD, NEW LONDON, WI 54961-7307","PO BOX 525, NEW LONDON, WI 54961-0525",920-427-0071,NA
TOWN OF MAINE OUTAGAMIE COUNTY,45030,http://townofmaineoutagamie.com,3/20/2019,LORI ANN KLEVESAHL,NA,"N8551 STATE HIGHWAY 187, SHIOCTON, WI 54170","W5402 BRUGGER RD, BLACK CREEK, WI 54106-8908",920-525-1150,NA
TOWN OF MAPLE CREEK - OUTAGAMIE,45032,http://www.townofmaplecreek.com/,9/12/2019,LYNETTE GITTER,LARRY KATERZYNSKE,"W10388 COUNTY ROAD W, NEW LONDON, WI 54961-9203","PO BOX 224, NEW LONDON, WI 54961-0224",920-982-5258,920-982-3929
TOWN OF ONEIDA OUTAGAMIE COUNTY,45034,http://townofoneida.org,11/27/2019,JENNIFER ANDERSEN,NA,"N6593 COUNTY ROAD H, ONEIDA, WI 54155-9546",NA,920-833-2211,920-833-1668
TOWN OF OSBORN OUTAGAMIE COUNTY,45036,https://townofosborn.com/,1/5/2018,DARLENE SCHULTZ,NA,"W3389 COUNTY ROAD EE, SEYMOUR, WI 54165-8602","N6362 BALLARD RD, SEYMOUR, WI 54165-8602",920-833-2942,920-833-6088
TOWN OF SEYMOUR OUTAGAMIE COUNTY,45038,NA,1/5/2018,DARLENE - SCHULTZ,NA,"N8055 FRENCH RD, SEYMOUR, WI 54165-8728","N6362 BALLARD RD, SEYMOUR, WI 54165-8602",920-833-2942,920-833-2942
TOWN OF VANDENBROEK -,45040,http://www.townofvandenbroek.org/,11/7/2019,CORY SWEDBERG,NA,"W2030 COUNTY ROAD JJ, OUTAGAMIE COUNTY KAUKAUNA WI 54130-9440",NA,920-850-1848,NA
VILLAGE OF BEAR CREEK - OUTAGAMIE,45106,http://villageofbearcreek.net/,4/16/2018,ASHLEY JANKE,BETTY MILLER,"109 PROSPECT ST, BEAR CREEK, WI 54922-9789","PO BOX 28, BEAR CREEK, WI 54922-0028",715-752-4356,715-752-3353
VILLAGE OF BLACK CREEK - OUTAGAMIE,45107,http://www.villageofblackcreek.com/,11/27/2019,BARBARA SCHUH,CARLA HOLZ,"301 N MAPLE ST, BLACK CREEK, WI 54106-9791",NA,920-984-3295,920-984-3250
VILLAGE OF COMBINED LOCKS - OUTAGAMIE,45111,http://www.combinedlocks.org,11/2/2017,RACQUEL SHAMPO-GIESE,SARAH LESNICK,"405 WALLACE ST, COMBINED LCKS, WI 54113-1129",NA,920-788-7740 EXT 203,920-788-7742
VILLAGE OF HORTONVILLE -,45136,http://www.hortonvillewi.org,5/21/2018,JANE BOOTH,NATHAN TREADWELL,"531 N NASH ST, HORTONVILLE, WI 54944-9776","P.O. BOX 99, HORTONVILLE, WI 54944-0099",920-779-6011,920-779-6552
VILLAGE OF KIMBERLY OUTAGAMIE COUNTY,45141,http://www.vokimberly.org,5/10/2019,DANIELLE L BLOCK,JANINE MICKE,"515 W KIMBERLY AVE, KIMBERLY, WI 54136-1335",NA,920-788-7500,920-788-9723
VILLAGE OF LITTLE CHUTE - OUTAGAMIE,45146,http://www.littlechutewi.org,1/15/2020,LAURIE DECKER,NA,"108 W MAIN ST, LITTLE COUNTY CHUTE, WI 54140-1750",NA,920-423-3852 EXT 9,NA
VILLAGE OF NICHOLS OUTAGAMIE COUNTY,45155,https://villageofnichols.com/,12/17/2019,LINDA HOES,NA,"N9065 KRULL RD, NICHOLS, WI 54152","PO BOX 169, NICHOLS, WI 54152-0169",920-525-2717,920-525-5411
VILLAGE OF SHIOCTON OUTAGAMIE COUNTY,45181,http://shiocton.org/,12/5/2019,LAURIE SWEENEY,TAMMY FREE,"N5605 STATE HIGHWAY 76, SHIOCTON, WI 54170-8615","PO BOX 96, SHIOCTON, WI 54170-0096",920-986-3415,920-986-3743
CITY OF APPLETON MULTIPLE COUNTIES,45201,https://www.appleton.org/,4/12/2017,KAMI LYNCH,ALAN STEWART,"100 N APPLETON ST, APPLETON, WI 54911-4702",NA,920-832-6443,920-832-5823
CITY OF KAUKAUNA MULTIPLE COUNTIES,45241,http://www.cityofkaukauna.com,3/20/2019,SALLY KENNEY,CHRISTINA HARTJES,"144 W 2ND ST, KAUKAUNA, WI 54130-2442","PO BOX 890, KAUKAUNA, WI 54130-0890",920-766-6300 EXT 1110,920-766-6339
CITY OF SEYMOUR OUTAGAMIE COUNTY,45281,http://www.cityofseymourwi.org/,12/20/2017,LORI THIEL,KELLY GERRITS,"328 N MAIN ST, SEYMOUR, WI 54165-1312",NA,920-833-2209,920-833-7221
TOWN OF BELGIUM OZAUKEE COUNTY,46002,http://www.town.belgium.wi.us,10/24/2017,GINGER MURPHY,NA,"171 MAIN ST, BELGIUM, WI 53004","5698 LAKE CHURCH RD, BELGIUM, WI 53004-9406",262-285-3326,NA
TOWN OF CEDARBURG OZAUKEE COUNTY,46004,NA,1/18/2017,ERIC RYER,BONNIE ERICKSON,"1293 WASHINGTON AVE, CEDARBURG, WI 53012-9304",NA,262-377-4509,262-377-0308
TOWN OF FREDONIA OZAUKEE COUNTY,46006,http://www.town.fredonia.wi.us/,5/14/2018,BOB EICHNER,CHERYL GORTON,"242 FREDONIA AVE, FREDONIA, WI 53021-9401","PO BOX 12, FREDONIA, WI 53021-0012",262-692-9673,262-692-9643
TOWN OF GRAFTON OZAUKEE COUNTY,46008,https://www.townofgrafton.org/,12/11/2019,LISA KIEN,BONNIE BARTEL,"1230 11TH AVE, GRAFTON, WI 53024-1907","PO BOX 143, GRAFTON, WI 53024-0143",262-377-8500,NA
TOWN OF PORT WASHINGTON -,46012,http://www.town.port-washington.wi.us,10/24/2017,HEATHER KRUEGER,DORIS FEIDER-SCHLENVOGT,"3715 HIGHLAND DR, PRT WASHINGTN, WI 53074-9702",NA,262-284-5235,262-284-5236
TOWN OF SAUKVILLE OZAUKEE COUNTY,46014,http://www.town.saukville.wi.us,3/25/2019,RAQUEL ENGELKE,NA,"3762 LAKELAND RD, SAUKVILLE, WI 53080-1312",NA,262-675-9217,262-675-0604
VILLAGE OF BELGIUM OZAUKEE COUNTY,46106,http://www.village.belgium.wi.us,10/16/2019,JULIE LESAR,NA,"104 Peter Thein Ave, Belgium, WI 53004",NA,262-285-7931,262-285-3479
VILLAGE OF FREDONIA OZAUKEE COUNTY,46126,http://www.village.fredonia.wi.us,11/2/2017,SANDI TRETOW,NA,"242 FREDONIA AVE, FREDONIA, WI 53021-9401","PO BOX 159, FREDONIA, WI 53021-0159",262-692-9125,262-692-2883
VILLAGE OF GRAFTON OZAUKEE COUNTY,46131,http://www.qualitylifegrafton.com,1/19/2018,KAITY OLSEN,DIANE L DEGNITZ,"860 BADGER CIR, GRAFTON, WI 53024-9436",NA,262-375-5300,262-375-5312
VILLAGE OF SAUKVILLE - OZAUKEE COUNTY,46181,http://www.village.saukville.wi.us,11/2/2017,MARY KAY BAUMANN,NA,"639 E GREEN BAY AVE, SAUKVILLE, WI 53080-2013",NA,262-284-9423,262-284-9527
VILLAGE OF THIENSVILLE -,46186,NA,7/6/2017,AMY L LANGLOIS,COLLEEN LANDISCH-HANSEN,"250 ELM ST, THIENSVILLE, WI 53092-1602",NA,262-242-3720,262-242-4743
CITY OF CEDARBURG OZAUKEE COUNTY,46211,https://www.ci.cedarburg.wi.us/,7/23/2019,CLAIRE WOODALL-VOGG,AMY KLETZIEN,"W63N645 WASHINGTON AVE, CEDARBURG, WI 53012-1945","PO BOX 49, CEDARBURG, WI 53012-0049",262-375-7606,262-375-7906
CITY OF MEQUON OZAUKEE COUNTY,46255,https://www.ci.mequon.wi.us/,10/16/2017,CAROLINE FOCHS,JANET MEYER,"11333 N CEDARBURG RD, MEQUON, WI 53092-1930",NA,262-236-2911,262-242-9655
CITY OF PORT WASHINGTON -,46271,NA,8/28/2018,SUSAN WESTERBEKE,MARK E GRAMS,"100 W GRAND AVE, PRT WASHINGTN, WI 53074-2217","PO BOX 307, PRT WASHINGTN, WI 53074-0307",262-284-5585,262-284-7224
TOWN OF ALBANY PEPIN COUNTY,47002,NA,4/25/2019,JULIE HECK,NA,"W1155 COUNTY ROAD R, MONDOVI, WI 54755","W1471 ALBANY W, MONDOVI, WI 54755",715-926-3410,NA
TOWN OF DURAND PEPIN COUNTY,47004,NA,1/19/2018,LISA RIDGEWAY,NA,"N5986 BRUNNER RD, DURAND, WI 54736-4607","W5887 US HIGHWAY 10, DURAND, WI 54736-4700",608-317-8695,NA
TOWN OF FRANKFORT PEPIN COUNTY,47006,NA,1/5/2018,MAUREEN MANORE,NA,"N3290 BYINGTON RD, PEPIN, WI 54759-4718",NA,715-442-2685,NA
TOWN OF LIMA COUNTY,47008,NA,1/14/2020,LAURIE KING,NA,"W4195 FORSTER RD, DURAND, WI 54736-4923","W3815 FORSTER RD, DURAND, WI 54736-5005",715-495-5899,NA
TOWN OF PEPIN COUNTY,47010,http://www.pepintownship.org,5/8/2019,NANCY A WOLFE,NA,"N2514 Bogus Rd, Stockholm, WI 54769-5602","W11086 FOSTER RD, STOCKHOLM, WI 54769-5602",715-495-1034,NA
TOWN OF STOCKHOLM PEPIN COUNTY,47012,https://www.townofstockholm.org/,4/25/2019,NANCY WOLFE,NA,"N2514 BOGUS ROAD, STOCKHOLM, WI 54769",NA,715-495-1958,NA
TOWN OF WATERVILLE PEPIN COUNTY,47014,NA,10/12/2018,DIANE HOYT,NA,"N6272 KITE HILL LN, ARKANSAW, WI 54721-9459",NA,715-285-5050,NA
TOWN OF WAUBEEK PEPIN COUNTY,47016,NA,6/22/2018,SHELLY ANDERSON,NA,"740 7th Ave, Durand, WI 54736- 1628","W7077 US Highway 10, Arkansaw, WI 54721",715-672-8499,NA
VILLAGE OF PEPIN PEPIN COUNTY,47171,http://pepinwisconsin.org/about-us,12/26/2019,MAGGIE SCHRUTH,MELISSA MURRAY,"508 2ND ST, PEPIN, WI 54759- 7703","PO BOX 277, PEPIN, WI 54759- 0277",715-442-2461,715-442-2466
VILLAGE OF STOCKHOLM - PEPIN,47181,NA,3/19/2019,CINDY FAYERWEATHER,NA,"2040 SPRING ST, COUNTY STOCKHOLM, WI 54769-0017","PO BOX 17, STOCKHOLM, WI 54769-0017",715-495-3226,715-442-2461
CITY OF DURAND PEPIN COUNTY,47216,https://www.durand-wi.com/,1/10/2020,ANGELA MORGAN,NA,"104 E MAIN ST, DURAND, WI 54736-1143","PO BOX 202, DURAND, WI 54736-0202",715-672-8770 EXT 2,715-672-8236
TOWN OF CLIFTON PIERCE COUNTY,48002,NA,1/9/2020,KRIS JOHNSON,NA,"W11705 COUNTY ROAD FF, RIVER FALLS, WI 54022","N8619 1060TH ST, RIVER FALLS, WI 54022",715-426-0760,NA
TOWN OF DIAMOND BLUFF - PIERCE,48004,http://www.diamond-bluff-wi.org,11/2/2017,TODD MEHRKENS,NA,"W9870 290TH AVE, HAGER COUNTY CITY, WI 54014-8348","W9004 290TH AVE, HAGER CITY, WI 54014-8358",612-987-1059,NA
